execution_index,backend,job_id,encoding,seed,shots,zero_counts,return_probability,ci95_low,ci95_high,twoq_count,depth,counts_json
0,ibm_marrakesh,da0ppt8b1g9c73aa4650,gray,7,4096,3725,0.909423828125,0.9002465738230481,0.9178338406729718,18,69,"{""000"": 3725, ""001"": 29, ""010"": 125, ""011"": 45, ""100"": 59, ""101"": 45, ""110"": 46, ""111"": 22}"
1,ibm_marrakesh,da0ppt8b1g9c73aa4650,gray,11,4096,3740,0.9130859375,0.9040670637073458,0.9213307069111787,18,69,"{""000"": 3740, ""001"": 28, ""010"": 112, ""011"": 49, ""100"": 62, ""101"": 46, ""110"": 35, ""111"": 24}"
2,ibm_marrakesh,da0ppt8b1g9c73aa4650,gray,3,4096,3740,0.9130859375,0.9040670637073458,0.9213307069111787,18,69,"{""000"": 3740, ""001"": 22, ""010"": 118, ""011"": 47, ""100"": 64, ""101"": 37, ""110"": 49, ""111"": 19}"
3,ibm_marrakesh,da0ppt8b1g9c73aa4650,gray,23,4096,3712,0.90625,0.8969389906097799,0.9147997152467359,18,69,"{""000"": 3712, ""001"": 22, ""010"": 133, ""011"": 49, ""100"": 81, ""101"": 36, ""110"": 48, ""111"": 15}"
4,ibm_marrakesh,da0ppt8b1g9c73aa4650,gray,19,4096,3728,0.91015625,0.9010103180945493,0.9185335676259713,18,69,"{""000"": 3728, ""001"": 26, ""010"": 120, ""011"": 61, ""100"": 59, ""101"": 38, ""110"": 54, ""111"": 10}"
5,ibm_marrakesh,da0ppt8b1g9c73aa4650,binary,3,4096,3498,0.85400390625,0.8428586322184356,0.8644857929570139,47,183,"{""000"": 3498, ""001"": 110, ""010"": 126, ""011"": 88, ""100"": 57, ""101"": 60, ""110"": 82, ""111"": 75}"
6,ibm_marrakesh,da0ppt8b1g9c73aa4650,binary,7,4096,3468,0.8466796875,0.835321382605431,0.857388330325009,49,185,"{""000"": 3468, ""001"": 82, ""010"": 154, ""011"": 92, ""100"": 82, ""101"": 67, ""110"": 86, ""111"": 65}"
7,ibm_marrakesh,da0ppt8b1g9c73aa4650,binary,23,4096,3470,0.84716796875,0.8358235876102469,0.8578617728031939,49,185,"{""000"": 3470, ""001"": 66, ""010"": 159, ""011"": 101, ""100"": 80, ""101"": 56, ""110"": 77, ""111"": 87}"
8,ibm_marrakesh,da0ppt8b1g9c73aa4650,binary,19,4096,3477,0.848876953125,0.8375816138522119,0.8595185127517311,47,183,"{""000"": 3477, ""001"": 107, ""010"": 125, ""011"": 96, ""100"": 75, ""101"": 60, ""110"": 73, ""111"": 83}"
9,ibm_marrakesh,da0ppt8b1g9c73aa4650,binary,11,4096,3474,0.84814453125,0.8368281149975741,0.8588085403818678,49,185,"{""000"": 3474, ""001"": 66, ""010"": 152, ""011"": 96, ""100"": 71, ""101"": 75, ""110"": 71, ""111"": 91}"
