fR_kHz,gate_time_us,fidelity_target,minimum_T2_adjacent_us,minimum_T2_over_gate
5.0,49.99999999999999,0.99,50118.72336272725,1002.3744672545452
5.0,49.99999999999999,0.999,501187.2336272725,10023.74467254545
5.0,49.99999999999999,0.9999,5011872.336272725,100237.44672545452
10.0,24.999999999999996,0.99,25118.864315095823,1004.754572603833
10.0,24.999999999999996,0.999,251188.6431509582,10047.54572603833
10.0,24.999999999999996,0.9999,2511886.4315095823,100475.45726038331
20.0,12.499999999999998,0.99,12589.254117941688,1007.1403294353352
20.0,12.499999999999998,0.999,125892.54117941688,10071.403294353351
20.0,12.499999999999998,0.9999,1258925.4117941686,100714.0329435335
35.0,7.1428571428571415,0.99,7079.457843841381,991.1240981377936
35.0,7.1428571428571415,0.999,70794.57843841388,9911.240981377945
35.0,7.1428571428571415,0.9999,707945.7843841388,99112.40981377945
50.0,5.0,0.99,5011.872336272725,1002.374467254545
50.0,5.0,0.999,50118.72336272725,10023.74467254545
50.0,5.0,0.9999,501187.2336272725,100237.4467254545
