case,fR_kHz,gamma_scale,fidelity_target,max_eta_sampled
1p35_sourcebacked,5.0,0.01,0.99,0.003
1p35_sourcebacked,5.0,0.01,0.999,0.0003
1p35_sourcebacked,5.0,0.1,0.99,0.0003
1p35_sourcebacked,5.0,0.1,0.999,3e-05
1p35_sourcebacked,5.0,1.0,0.99,3e-05
1p35_sourcebacked,5.0,1.0,0.999,0.0
1p35_sourcebacked,10.0,0.01,0.99,0.01
1p35_sourcebacked,10.0,0.01,0.999,0.001
1p35_sourcebacked,10.0,0.1,0.99,0.001
1p35_sourcebacked,10.0,0.1,0.999,0.0001
1p35_sourcebacked,10.0,1.0,0.99,0.0001
1p35_sourcebacked,10.0,1.0,0.999,1e-05
1p35_sourcebacked,20.0,0.01,0.99,0.03
1p35_sourcebacked,20.0,0.01,0.999,0.003
1p35_sourcebacked,20.0,0.1,0.99,0.003
1p35_sourcebacked,20.0,0.1,0.999,0.0003
1p35_sourcebacked,20.0,1.0,0.99,0.0003
1p35_sourcebacked,20.0,1.0,0.999,3e-05
1p35_sourcebacked,35.0,0.01,0.99,0.03
1p35_sourcebacked,35.0,0.01,0.999,0.003
1p35_sourcebacked,35.0,0.1,0.99,0.003
1p35_sourcebacked,35.0,0.1,0.999,0.0003
1p35_sourcebacked,35.0,1.0,0.99,0.0003
1p35_sourcebacked,35.0,1.0,0.999,3e-05
robust_sourcebacked,5.0,0.01,0.99,0.003
robust_sourcebacked,5.0,0.01,0.999,0.0003
robust_sourcebacked,5.0,0.1,0.99,0.0003
robust_sourcebacked,5.0,0.1,0.999,3e-05
robust_sourcebacked,5.0,1.0,0.99,3e-05
robust_sourcebacked,5.0,1.0,0.999,0.0
robust_sourcebacked,10.0,0.01,0.99,0.01
robust_sourcebacked,10.0,0.01,0.999,0.001
robust_sourcebacked,10.0,0.1,0.99,0.001
robust_sourcebacked,10.0,0.1,0.999,0.0001
robust_sourcebacked,10.0,1.0,0.99,0.0001
robust_sourcebacked,10.0,1.0,0.999,1e-05
robust_sourcebacked,20.0,0.01,0.99,0.03
robust_sourcebacked,20.0,0.01,0.999,0.003
robust_sourcebacked,20.0,0.1,0.99,0.003
robust_sourcebacked,20.0,0.1,0.999,0.0003
robust_sourcebacked,20.0,1.0,0.99,0.0003
robust_sourcebacked,20.0,1.0,0.999,3e-05
robust_sourcebacked,35.0,0.01,0.99,0.03
robust_sourcebacked,35.0,0.01,0.999,0.003
robust_sourcebacked,35.0,0.1,0.99,0.003
robust_sourcebacked,35.0,0.1,0.999,0.0003
robust_sourcebacked,35.0,1.0,0.99,0.0003
robust_sourcebacked,35.0,1.0,0.999,3e-05
