label,kappa_abs_MHz,B_T,delta_inter_min_leading_MHz
current_49Ti,46.3738,0.6,0.433946217134074
current_49Ti,46.3738,0.602,0.42435132357214034
current_49Ti,46.3738,0.604,0.41475643001020623
current_49Ti,46.3738,0.606,0.40516153644827213
current_49Ti,46.3738,0.608,0.395566642886338
current_49Ti,46.3738,0.61,0.3859717493244039
current_49Ti,46.3738,0.612,0.3763768557624698
current_49Ti,46.3738,0.614,0.3667819622005357
current_49Ti,46.3738,0.616,0.3571870686386016
current_49Ti,46.3738,0.618,0.34759217507666795
current_49Ti,46.3738,0.62,0.33799728151473385
current_49Ti,46.3738,0.622,0.32840238795279975
current_49Ti,46.3738,0.624,0.31880749439086564
current_49Ti,46.3738,0.626,0.30921260082893154
current_49Ti,46.3738,0.628,0.29961770726699744
current_49Ti,46.3738,0.63,0.29002281370506333
current_49Ti,46.3738,0.632,0.28042792014312923
current_49Ti,46.3738,0.634,0.27083302658119557
current_49Ti,46.3738,0.636,0.26123813301926146
current_49Ti,46.3738,0.638,0.25164323945732736
current_49Ti,46.3738,0.64,0.24204834589539326
current_49Ti,46.3738,0.642,0.23245345233345915
current_49Ti,46.3738,0.644,0.22285855877152505
current_49Ti,46.3738,0.646,0.21326366520959095
current_49Ti,46.3738,0.648,0.20366877164765684
current_49Ti,46.3738,0.65,0.19407387808572318
current_49Ti,46.3738,0.652,0.18447898452378908
current_49Ti,46.3738,0.654,0.17488409096185498
current_49Ti,46.3738,0.656,0.16528919739992087
current_49Ti,46.3738,0.658,0.15569430383798677
current_49Ti,46.3738,0.66,0.14609941027605267
current_49Ti,46.3738,0.662,0.13650451671411856
current_49Ti,46.3738,0.664,0.12690962315218446
current_49Ti,46.3738,0.666,0.1173147295902508
current_49Ti,46.3738,0.668,0.1077198360283167
current_49Ti,46.3738,0.67,0.09812494246638259
current_49Ti,46.3738,0.672,0.08853004890444849
current_49Ti,46.3738,0.674,0.07893515534251438
current_49Ti,46.3738,0.676,0.06934026178058028
current_49Ti,46.3738,0.678,0.05974536821864618
current_49Ti,46.3738,0.68,0.050150474656712074
current_49Ti,46.3738,0.682,0.040555581094778415
current_49Ti,46.3738,0.684,0.03096068753284431
current_49Ti,46.3738,0.686,0.021365793970910207
current_49Ti,46.3738,0.6880000000000001,0.011770900408976104
current_49Ti,46.3738,0.6900000000000001,0.002176006847042
current_49Ti,46.3738,0.6920000000000001,0.007418886714892103
current_49Ti,46.3738,0.6940000000000001,0.017013780276826207
current_49Ti,46.3738,0.6960000000000001,0.02660867383876031
current_49Ti,46.3738,0.6980000000000001,0.03620356740069397
current_49Ti,46.3738,0.7000000000000001,0.045798460962628074
current_49Ti,46.3738,0.7020000000000001,0.05539335452456218
