B_T,worst_MHz,p05_MHz,median_MHz,p95_MHz,best_MHz,limiting_index,limit_kappa_MHz,limit_gz,limit_Btip_T,limit_phi_deg,limit_Az_MHz,limit_Aperp_over_Az,limit_gperp_over_gz
0.95,0.7895425524652637,0.8074814184026081,1.1825292933112905,1.434655889050464,1.4348171562928655,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.951,0.7945949481227217,0.8125170419702499,1.1873859289516986,1.4394538498829206,1.4396146453636902,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.952,0.7996468554847525,0.817552208485995,1.1922424536683138,1.4442518087121698,1.4444121342680774,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.953,0.8046982759556158,0.8225869192432356,1.1970988677699097,1.4490497655472154,1.449209623009665,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.954,0.8097492109309314,0.8276211755663325,1.2019551715534362,1.4538477203907179,1.4540071115870887,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.955,0.8147996617890385,0.832654978746541,1.206811365329031,1.458645673273918,1.4588046000003487,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.956,0.8198496299232829,0.837688330092601,1.2116674494022845,1.4634436241740332,1.463602088253083,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.957,0.8248991167270106,0.8427212308866728,1.2165234240803784,1.4682415731271248,1.468399576347565,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.958,0.8299481235576422,0.8477536824332447,1.2213792896629911,1.4730395201321245,1.4731970642778833,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.959,0.8349966517821485,0.852785686034963,1.2262350464579868,1.4778374651996955,1.4779945520476758,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.96,0.8400447027765949,0.8578172429119377,1.2310906947561762,1.4826354083344768,1.4827920396587615,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.961,0.8450922779047687,0.8628483543943275,1.2359462348777015,1.4874333495548853,1.4875895271129593,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.962,0.8501393784877109,0.8678790217267988,1.2408016670824509,1.492231288867265,1.4923870144093598,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.963,0.8551860059128558,0.8729092461939445,1.2457440627645155,1.4970292262792781,1.4971845015502367,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.964,0.860232161508975,0.8779390290241281,1.2506888167501984,1.5018271617972005,1.5019819885346806,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.965,0.8652778466066593,0.8829683714998282,1.2556332945807753,1.5066250954375164,1.506779475366784,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.966,0.8703230625542346,0.8879972748636646,1.2605774970270431,1.5114230271990663,1.5115769620424544,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.967,0.8753678106722873,0.893025740366238,1.2655214248645734,1.5162209570993581,1.5163744485657844,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.968,0.8804120922800394,0.898053769221724,1.2704261108935953,1.5210188851434623,1.521171934931317,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.969,0.8854559087035341,0.9030813627073713,1.2752811684888457,1.5258168113495458,1.5259694211481474,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.97,0.8904992612488059,0.9081085220414252,1.2801662641877556,1.5306147357082864,1.5307669072117278,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.971,0.8955421512359862,0.9131352484292847,1.2850960552138986,1.5354126582398067,1.5355643931261511,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.972,0.9005845799547387,0.9181615431326918,1.289997984109732,1.5402105789581129,1.540361878891872,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.973,0.9056265487179189,0.9231874073352401,1.2948573238179506,1.5450084978632959,1.5451593645052526,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.974,0.9106680588056406,0.9282128422548339,1.299739999110443,1.5498064149631774,1.5499568499740235,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.975,0.9157091115230287,0.933237849127454,1.3046585063507337,1.554604330271013,1.5547543352931825,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.976,0.920749708142921,0.9382624291305092,1.309527752175427,1.559402243796285,1.5595518204654581,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.977,0.9257898499472503,0.9432865834671247,1.314394925313536,1.558253412663157,1.5583697869606112,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.978,0.9308295382052165,0.9483103133436316,1.3193218865335439,1.553456324202989,1.5535723696939385,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.979,0.9358687741873837,0.9533336199446694,1.3242365478090505,1.5486592343943584,1.5487749523163075,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.98,0.9409075591729561,0.9583565044501711,1.329111838951576,1.5438621432436321,1.543977534829537,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.981,0.945945894412489,0.9633789680586006,1.333985106349246,1.5390650507540158,1.5391801172327177,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.982,0.9509837811579018,0.9684010119398409,1.338916195755246,1.5342679569363553,1.5343826995222116,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.983,0.956021220670209,0.9734226372626381,1.343842440089702,1.5294708617935158,1.5295852817034756,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.984,0.9610582141845043,0.9784438451967616,1.3487114309921253,1.524673765333364,1.5247878637792383,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.985,0.9660947629527072,0.9834646369121401,1.3536336463148473,1.5198766675636306,1.519990445744952,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.986,0.9711308681958144,0.9884850135592842,1.3585579050788965,1.5150795684900686,1.5151930276051644,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.987,0.9761665311671095,0.9935049763114421,1.363548740808028,1.5102824681121774,1.5103956093544184,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.988,0.9812017530875892,0.9985245262952958,1.3685378983986993,1.5054853664356187,1.505598190996352,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.989,0.986236535183707,1.003543664682411,1.3734862882465677,1.5006882634774001,1.5008007725318748,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.99,0.991270878663272,1.0085623926024254,1.3769712118373718,1.4958911592393633,1.4960033539655342,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.991,0.9963047847481903,1.0135807111920712,1.3786331980240902,1.491094053721713,1.4912059352873257,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
0.992,1.001338254645816,1.0185986216133642,1.3787719429267327,1.486296946940365,1.4864085165136203,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
