parameter,value,delta_MHz,change_from_source_MHz
kappa_MHz,-49.0292,1.4014619432246036,-0.18967029174291383
kappa_MHz,-46.3738,1.5911322349675174,0.0
kappa_MHz,-43.7184,1.2914392655238771,-0.2996929694436403
gz,0.54,1.5899019684056839,-0.0012302665618335595
gz,0.56,1.5911322349675174,0.0
gz,0.58,1.5922794285179407,0.0011471935504232533
Btip_T,0.0658,1.5910607455007266,-7.148946679080836e-05
Btip_T,0.0679,1.5911322349675174,0.0
Btip_T,0.07,1.591203660633255,7.1425665737479e-05
phi_deg,3.0,1.591048535603477,-8.369936404051259e-05
phi_deg,5.0,1.5911322349675174,0.0
phi_deg,7.0,1.5912573881632852,0.00012515319576777983
Az_MHz,130.0,1.5911322349675174,0.0
Az_MHz,132.1,1.5900375790379258,-0.0010946559295916813
Aperp_over_Az,0.0,1.6249776705099066,0.03384543554238917
Aperp_over_Az,0.05,1.6108399494605692,0.019707714493051753
Aperp_over_Az,0.1,1.5675854887749665,-0.023546746192550927
Aperp_over_Az,0.2,1.3945725497824242,-0.19655968518509326
gperp_over_gz,0.5,1.5910281852520711,-0.00010404971544630826
gperp_over_gz,1.0,1.5911322349675174,0.0
gperp_over_gz,1.5,1.591305636115976,0.00017340114845865173
