B_T,Delta_inter_min_MHz
0.2,0.9594884850398858
0.201,0.9642859274650852
0.202,0.9690833698902847
0.203,0.9738808123154841
0.20400000000000001,0.9786782547406835
0.20500000000000002,0.983475697165883
0.20600000000000002,0.9882731395910824
0.20700000000000002,0.9930705820162818
0.20800000000000002,0.9978680244414813
0.20900000000000002,1.0026654668666808
0.21000000000000002,1.00746290929188
0.21100000000000002,1.0122603517170796
0.21200000000000002,1.017057794142279
0.21300000000000002,1.0218552365674785
0.21400000000000002,1.0266526789926778
0.21500000000000002,1.0314501214178773
0.21600000000000003,1.0362475638430768
0.21700000000000003,1.0410450062682761
0.21800000000000003,1.0458424486934756
0.219,1.050639891118675
0.22,1.0554373335438743
0.221,1.0602347759690738
0.222,1.065032218394273
0.223,1.0698296608194726
0.224,1.0746271032446721
0.225,1.0794245456698714
0.226,1.084221988095071
0.227,1.0890194305202703
0.228,1.0938168729454698
0.229,1.0986143153706693
0.23,1.1034117577958686
0.231,1.1082092002210682
0.232,1.1130066426462675
0.233,1.117804085071467
0.234,1.1226015274966663
0.23500000000000001,1.1273989699218658
0.23600000000000002,1.1321964123470654
0.23700000000000002,1.1369938547722647
0.23800000000000002,1.1417912971974642
0.23900000000000002,1.1465887396226635
0.24000000000000002,1.151386182047863
0.24100000000000002,1.1561836244730623
0.24200000000000002,1.1609810668982619
0.24300000000000002,1.1657785093234614
0.244,1.1705759517486607
0.245,1.17537339417386
0.246,1.1801708365990595
0.247,1.1849682790242588
0.248,1.1897657214494584
0.249,1.1945631638746577
0.25,1.1993606062998572
0.251,1.2041580487250567
0.252,1.208955491150256
0.253,1.2137529335754556
0.254,1.2185503760006549
0.255,1.2233478184258544
0.256,1.2281452608510537
0.257,1.2329427032762532
0.258,1.2377401457014527
0.259,1.242537588126652
0.26,1.2473350305518516
0.261,1.2521324729770509
0.262,1.2569299154022504
0.263,1.2617273578274497
0.264,1.2665248002526492
0.265,1.2713222426778488
0.266,1.276119685103048
0.267,1.2809171275282476
0.268,1.285714569953447
0.269,1.2905120123786464
0.27,1.295309454803846
0.271,1.3001068972290453
0.272,1.3049043396542448
0.273,1.309701782079444
0.274,1.3144992245046436
0.275,1.319296666929843
0.276,1.3240941093550425
0.277,1.328891551780242
0.278,1.3336889942054413
0.279,1.3384864366306408
0.28,1.3432838790558401
0.281,1.3480813214810397
0.28200000000000003,1.352878763906239
0.28300000000000003,1.3576762063314385
0.28400000000000003,1.362473648756638
0.28500000000000003,1.3672710911818373
0.28600000000000003,1.3720685336070368
0.28700000000000003,1.3768659760322361
0.28800000000000003,1.3816634184574357
0.28900000000000003,1.386460860882635
0.29000000000000004,1.3912583033078345
0.29100000000000004,1.396055745733034
0.29200000000000004,1.4008531881582333
0.29300000000000004,1.4056506305834329
0.29400000000000004,1.4104480730086322
0.29500000000000004,1.4152455154338317
0.29600000000000004,1.420042957859031
0.29700000000000004,1.4248404002842305
0.29800000000000004,1.42963784270943
0.29900000000000004,1.4344352851346294
0.30000000000000004,1.439232727559829
0.30100000000000005,1.4440301699850282
0.30200000000000005,1.4488276124102277
0.30300000000000005,1.453625054835427
0.30400000000000005,1.4584224972606266
0.305,1.4632199396858256
0.306,1.4680173821110252
0.307,1.4728148245362247
0.308,1.477612266961424
0.309,1.4824097093866235
0.31,1.4872071518118228
0.311,1.4920045942370224
0.312,1.4968020366622217
0.313,1.5015994790874212
0.314,1.5063969215126207
0.315,1.51119436393782
0.316,1.5159918063630196
0.317,1.5207892487882189
0.318,1.5255866912134184
0.319,1.5303841336386177
0.32,1.5351815760638172
0.321,1.5399790184890167
0.322,1.544776460914216
0.323,1.5495739033394156
0.324,1.5543713457646149
0.325,1.5591687881898144
0.326,1.563966230615014
0.327,1.5687636730402132
0.328,1.5735611154654128
0.329,1.578358557890612
0.33,1.5831560003158116
0.331,1.587953442741011
0.332,1.5927508851662104
0.333,1.59754832759141
0.334,1.6023457700166093
